passportArea/name,passportArea/id,passportArea/alpha3code,passportArea/alpha2code,weight,firstName,middleName,lastName,currentTeamId,birthDate,height,role/code2,role/code3,role/name,birthArea/name,birthArea/id,birthArea/alpha3code,birthArea/alpha2code,wyId,foot,shortName,currentNationalTeamId
Spain,724,ESP,ES,66,Lorenzo Jes\u00fas,,Mor\u00f3n Garc\u00eda,684,30/12/1993,180,FW,FWD,Forward,Spain,724,ESP,ES,364820,right,Loren Mor\u00f3n,null
Spain,724,ESP,ES,79,V\u00edctor,,Mach\u00edn P\u00e9rez,679,02/11/1989,184,MD,MID,Midfielder,Spain,724,ESP,ES,4375,right,Vitolo,null
Dominican Republic,214,DOM,DO,78,H\u00e9ctor Junior,,Firpo Adames,684,22/08/1996,184,DF,DEF,Defender,Dominican Republic,214,DOM,DO,364850,left,J. Firpo,null
Spain,724,ESP,ES,78,Rodrigo,,Hern\u00e1ndez Cascante,682,22/06/1996,190,MD,MID,Midfielder,Spain,724,ESP,ES,364860,right,Rodri,1604
Spain,724,ESP,ES,69,Adri\u00e1n,,Di\u00e9guez Grande,696,04/02/1996,187,DF,DEF,Defender,Spain,724,ESP,ES,364870,left,Adri\u00e1n Di\u00e9guez,null
Spain,724,ESP,ES,70,Jonathan,,Castro Otto,692,03/03/1994,175,DF,DEF,Defender,Spain,724,ESP,ES,4424,right,Jonny,null
Spain,724,ESP,ES,73,Borja,,Valle Balonga,677,09/07/1992,177,FW,FWD,Forward,Spain,724,ESP,ES,4440,right,Borja Valle,null
Croatia,191,HRV,HR,85,Tomi,,Juri\u0107,6425,22/07/1991,191,FW,FWD,Forward,Australia,36,AUS,AU,69978,right,T. Juri\u0107,8493
Russia,643,RUS,RU,82,Denis,,Glushakov,13888,27/01/1987,182,MD,MID,Midfielder,Russia,643,RUS,RU,101623,right,D. Glushakov,null
Spain,724,ESP,ES,80,Yuri,,Berchiche Izeta,3767,10/02/1990,181,DF,DEF,Defender,Spain,724,ESP,ES,4452,left,Yuri Berchiche,null
Spain,724,ESP,ES,91,Iago,,Herrer\u00edn Buis\u00e1n,678,25/01/1988,187,GK,GKP,Goalkeeper,Spain,724,ESP,ES,4476,right,Iago Herrer\u00edn,null
Spain,724,ESP,ES,76,Sa\u00fal,,\u00d1\u00edguez Esclapez,679,21/11/1994,184,MD,MID,Midfielder,Spain,724,ESP,ES,4488,left,Sa\u00fal,1598
China PR,156,CHN,CN,69,Yuning,,Zhang,2443,05/01/1997,185,FW,FWD,Forward,China PR,156,CHN,CN,364937,right,Zhang Yuning,9211
Spain,724,ESP,ES,70,Lucas,,V\u00e1zquez Iglesias,675,01/07/1991,173,FW,FWD,Forward,Spain,724,ESP,ES,4498,right,Lucas V\u00e1zquez,1598
Spain,724,ESP,ES,73,Daniel,,Carvajal Ramos,675,11/01/1992,173,DF,DEF,Defender,Spain,724,ESP,ES,4501,right,Daniel Carvajal,1598
Spain,724,ESP,ES,74,Omar,,Mascarell Gonz\u00e1lez,2462,02/02/1993,181,MD,MID,Midfielder,Spain,724,ESP,ES,4509,right,Omar Mascarell,null
Spain,724,ESP,ES,76,Pedro,,Mosquera Parada,677,21/04/1988,184,MD,MID,Midfielder,Spain,724,ESP,ES,4511,left,Pedro Mosquera,null
Spain,724,ESP,ES,74,Denis,,Cheryshev,674,26/12/1990,179,MD,MID,Midfielder,Russia,643,RUS,RU,4513,left,D. Cheryshev,14358
Greece,300,GRC,GR,77,Anastasios,,Donis,2445,29/08/1996,178,FW,FWD,Forward,England,0,XEN,,233910,right,A. Donis,12678
Brazil,76,BRA,BR,78,Danilo Luiz,,da Silva,1625,15/07/1991,184,DF,DEF,Defender,Brazil,76,BRA,BR,70083,right,Danilo,6380
Brazil,76,BRA,BR,75,Alex Sandro,,Lobo Silva,3159,26/01/1991,180,DF,DEF,Defender,Brazil,76,BRA,BR,70084,left,Alex Sandro,null
Argentina,32,ARG,AR,81,Nicol\u00e1s Hern\u00e1n,,Otamendi,1625,12/02/1988,183,DF,DEF,Defender,Argentina,32,ARG,AR,70086,right,N. Otamendi,12274
Portugal,620,PRT,PT,77,Rolando Jorge,,Pires da Fonseca,3771,31/08/1985,189,DF,DEF,Defender,Cape Verde Islands,132,CPV,CV,70088,right,Rolando,null
Romania,642,ROU,RO,81,Ionu\u021b Cristian,,S\u0103punaru,4510,05/04/1984,187,DF,DEF,Defender,Romania,642,ROU,RO,70090,right,C. S\u0103punaru,null
Portugal,620,PRT,PT,61,Jo\u00e3o Filipe,,Iria Santos Moutinho,1629,08/09/1986,170,MD,MID,Midfielder,Portugal,620,PRT,PT,70093,right,Jo\u00e3o Moutinho,9905
Italy,380,ITA,IT,84,Cristian Gabriel,,Rodr\u00edguez Barrotti,15633,30/09/1985,177,MD,MID,Midfielder,Uruguay,858,URY,UY,70095,left,C. Rodr\u00edguez,15670
Colombia,170,COL,CO,75,James David,,Rodr\u00edguez Rubio,2444,12/07/1991,180,MD,MID,Midfielder,Colombia,170,COL,CO,70096,left,J. Rodr\u00edguez,12430
Austria,40,AUT,AT,93,Marc,,Janko,6433,25/06/1983,196,FW,FWD,Forward,Austria,40,AUT,AT,70100,left,M. Janko,null
Spain,724,ESP,ES,90,Ezequiel Marcelo,,Garay,674,10/10/1986,189,DF,DEF,Defender,Argentina,32,ARG,AR,70112,right,E. Garay,null
Spain,724,ESP,ES,82,Francisco Javier ,,Garc\u00eda Fern\u00e1ndez,684,08/02/1987,186,MD,MID,Midfielder,Spain,724,ESP,ES,70120,right,Javi Garc\u00eda,null
Slovakia,703,SVK,SK,84,Nemanja,,Mati\u0107,1611,01/08/1988,194,MD,MID,Midfielder,Serbia,688,SRB,RS,70122,left,N. Mati\u0107,17322
Martinique,474,MTQ,MQ,81,Axel ,,Witsel,2447,12/01/1989,188,MD,MID,Midfielder,Belgium,56,BEL,BE,70123,right,A. Witsel,5629
Spain,724,ESP,ES,72,Manuel,,Agudo Dur\u00e1n,680,15/10/1986,175,FW,FWD,Forward,Spain,724,ESP,ES,70125,right,Nolito,null
Spain,724,ESP,ES,73,Sergio,,Mora S\u00e1nchez,,30/08/1979,182,MD,MID,Midfielder,Spain,724,ESP,ES,4593,right,Sergio Mora,null
Portugal,620,PRT,PT,84,Rui Pedro,,dos Santos Patr\u00edcio,1629,15/02/1988,190,GK,GKP,Goalkeeper,Portugal,620,PRT,PT,70134,left,Rui Patr\u00edcio,9905
Colombia,170,COL,CO,72,Santiago,,Arias Naranjo,679,13/01/1992,175,DF,DEF,Defender,Colombia,170,COL,CO,70136,right,S. Arias,12430
Spain,724,ESP,ES,79,Emiliano Adri\u00e1n,,Ins\u00faa Zapata,2445,07/01/1989,180,DF,DEF,Defender,Argentina,32,ARG,AR,70139,left,E. Ins\u00faa,null
Portugal,620,PRT,PT,80,Daniel Filipe,,Martins Carri\u00e7o,680,04/08/1988,180,DF,DEF,Defender,Portugal,620,PRT,PT,70140,right,Daniel Carri\u00e7o,null
Peru,604,PER,PE,78,Andr\u00e9 Mart\u00edn,,Carrillo D\u00edaz,16467,14/06/1991,181,MD,MID,Midfielder,Peru,604,PER,PE,70156,right,A. Carrillo,15594
Italy,380,ITA,IT,80,Tommaso,,Berni,3161,06/03/1983,185,GK,GKP,Goalkeeper,Italy,380,ITA,IT,70161,right,T. Berni,null
Nigeria,566,NGA,NG,76,Elderson Uwa,,Echiejile,,20/01/1988,185,DF,DEF,Defender,Nigeria,566,NGA,NG,70168,left,E. Echiejile,16823
Hungary,348,HUN,HU,74,\u00c1d\u00e1m,,Nagy,3166,17/06/1995,178,MD,MID,Midfielder,Hungary,348,HUN,HU,299557,right,\u00c1. Nagy,10451
Croatia,191,HRV,HR,84,Danijel,,Suba\u0161i\u0107,19830,27/10/1984,191,GK,GKP,Goalkeeper,Croatia,191,HRV,HR,135747,right,D. Suba\u0161i\u0107,9598
Poland,616,POL,PL,65,Alexander,,Szymanowski,712,13/10/1988,175,MD,MID,Midfielder,Argentina,32,ARG,AR,4683,left,A. Szymanowski,null
Poland,616,POL,PL,78,Marcel Julian,,Lizak,756,15/07/1996,192,GK,GKP,Goalkeeper,Poland,616,POL,PL,508686,,M. Lizak,null
Italy,380,ITA,IT,69,Nahitan Michel,,N\u00e1ndez Acosta,12057,28/12/1995,171,MD,MID,Midfielder,Uruguay,858,URY,UY,299618,right,N. N\u00e1ndez,15670
Croatia,191,HRV,HR,89,Josip,,Elez,2455,25/04/1994,189,DF,DEF,Defender,Croatia,191,HRV,HR,135788,right,J. Elez,null
Slovenia,705,SVN,SI,84,Jan,,Oblak,679,07/01/1993,189,GK,GKP,Goalkeeper,Slovenia,705,SVN,SI,70273,right,J. Oblak,12046
Croatia,191,HRV,HR,81,Marko,,Pjaca,3176,06/05/1995,186,FW,FWD,Forward,Croatia,191,HRV,HR,135810,right,M. Pjaca,9598
Kenya,404,KEN,KE,80,Michael,,Olunga,756,26/03/1994,188,FW,FWD,Forward,Kenya,404,KEN,KE,266885,left,M. Olunga,18402
Slovenia,705,SVN,SI,68,Jan,,Repas,3783,19/03/1997,171,MD,MID,Midfielder,Slovenia,705,SVN,SI,234138,right,J. Repas,12052
Mali,466,MLI,ML,72,Adama,,Traor\u00e9,19830,28/06/1995,180,MD,MID,Midfielder,Mali,466,MLI,ML,266917,left,A. Traor\u00e9,19001
Spain,724,ESP,ES,67,David,,Junc\u00e0 Re\u00f1\u00e9,701,16/11/1993,175,DF,DEF,Defender,Spain,724,ESP,ES,4780,left,David Junc\u00e0,null
Albania,8,ALB,AL,63,Iv\u00e1n,,Balliu Campeny,3777,01/01/1992,172,DF,DEF,Defender,Spain,724,ESP,ES,4786,right,Iv\u00e1n Balliu,8731
Spain,724,ESP,ES,76,Carles,,Planas Antol\u00ednez,756,04/03/1991,173,DF,DEF,Defender,Spain,724,ESP,ES,4789,left,Carles Planas,null
Spain,724,ESP,ES,72,Patricio,,Gabarr\u00f3n Gil,3162,17/04/1993,184,DF,DEF,Defender,Spain,724,ESP,ES,4792,right,Patric,null
Spain,724,ESP,ES,76,Anaitz,,Arbilla Zabala,701,15/05/1987,178,DF,DEF,Defender,Spain,724,ESP,ES,4805,right,Arbilla,null
Germany,276,DEU,DE,67,Max ,,Meyer,2449,18/09/1995,173,MD,MID,Midfielder,Germany,276,DEU,DE,134369,right,M. Meyer,null
Colombia,170,COL,CO,82,Abel Enrique,,Aguilar Tapia,12394,06/01/1985,186,MD,MID,Midfielder,Colombia,170,COL,CO,4814,right,A. Aguilar,12430
Portugal,620,PRT,PT,74,Pedro Miguel,,Braga Rebocho,3785,23/01/1995,170,DF,DEF,Defender,Portugal,620,PRT,PT,135901,left,Pedro Rebocho,null
Portugal,620,PRT,PT,68,Marcos Paulo,,Mesquita Lopes,19830,28/12/1995,174,MD,MID,Midfielder,Brazil,76,BRA,BR,135913,left,Rony Lopes,null
Cape Verde Islands,132,CPV,CV,70,Ricardo Domingos,,Barbosa Pereira,1631,06/10/1993,175,DF,DEF,Defender,Portugal,620,PRT,PT,70381,right,Ricardo Pereira,9905
Portugal,620,PRT,PT,67,C\u00e9dric Ricardo,,Alves Soares,1619,31/08/1991,172,DF,DEF,Defender,Germany,276,DEU,DE,70389,right,C\u00e9dric Soares,9905
Portugal,620,PRT,PT,69,Adrien Sebastian,,Perruchet Silva,1631,15/03/1989,175,MD,MID,Midfielder,France,250,FRA,FR,70403,right,Adrien Silva,9905
Portugal,620,PRT,PT,81,\u00c9derzito Ant\u00f3nio,,Macedo Lopes,13887,22/12/1987,188,FW,FWD,Forward,Guinea-Bissau,624,GNB,GW,70410,right,\u00c9der,null
Spain,724,ESP,ES,64,Carles,,Gil de Pareja Vicent,677,22/11/1992,171,MD,MID,Midfielder,Spain,724,ESP,ES,4879,left,Carles Gil,null
Spain,724,ESP,ES,66,Jos\u00e9 Luis,,Gay\u00e1 Pe\u00f1a,674,25/05/1995,172,DF,DEF,Defender,Spain,724,ESP,ES,4892,left,Jos\u00e9 Gay\u00e1,null
Spain,724,ESP,ES,67,Jozabed,,S\u00e1nchez Ruiz,692,08/03/1991,180,MD,MID,Midfielder,Spain,724,ESP,ES,4911,right,Jozabed,null
Portugal,620,PRT,PT,67,Luis Carlos,,Correia Pinto,677,05/05/1985,171,DF,DEF,Defender,Portugal,620,PRT,PT,70451,left,Luisinho,null
Egypt,818,EGY,EG,72,Ramadan,,Sobhi,1673,23/01/1997,183,MD,MID,Midfielder,Egypt,818,EGY,EG,332605,right,Ramadan Sobhi,16129
Spain,724,ESP,ES,76,David Sim\u00f3n,,Rodr\u00edguez Santana,714,31/12/1989,179,DF,DEF,Defender,Spain,724,ESP,ES,4936,right,David Sim\u00f3n,null
Bosnia-Herzegovina,70,BIH,BA,66,Mijat,,Ga\u0107inovi\u0107,2462,08/02/1995,175,MD,MID,Midfielder,Serbia,688,SRB,RS,136011,right,M. Ga\u0107inovi\u0107,null
Morocco,504,MAR,MA,73,Yassine,,El Ghanassy,3770,12/07/1990,173,MD,MID,Midfielder,Belgium,56,BEL,BE,37714,right,Y. El Ghanassy,null
Belgium,56,BEL,BE,78,Cheikhou,,Kouyat\u00e9,1628,21/12/1989,193,MD,MID,Midfielder,Senegal,686,SEN,SN,37725,right,C. Kouyat\u00e9,19314
Italy,380,ITA,IT,74,Lucas Rodrigo,,Biglia,3157,30/01/1986,178,MD,MID,Midfielder,Argentina,32,ARG,AR,37732,right,L. Biglia,12274
Belgium,56,BEL,BE,79,Guillaume,,Gillet,12509,09/03/1984,186,MD,MID,Midfielder,Belgium,56,BEL,BE,37734,right,G. Gillet,null
Spain,724,ESP,ES,69,Pedro Tanaus\u00fa,,Dom\u00ednguez Placeres,714,20/09/1990,169,MD,MID,Midfielder,Spain,724,ESP,ES,4969,right,Tana,null
Portugal,620,PRT,PT,82,Paulo Andr\u00e9,,Rodrigues de Oliveira,701,08/01/1991,187,DF,DEF,Defender,Portugal,620,PRT,PT,70507,right,Paulo Oliveira,null
Congo DR,180,COD,CD,77,Jordan Zacharie,,Lukaku Menama Mokelenge,3162,25/07/1994,183,DF,DEF,Defender,Belgium,56,BEL,BE,37745,left,J. Lukaku,null
Czech Republic,203,CZE,CZ,73,Patrik,,Schick,3158,24/01/1996,186,FW,FWD,Forward,Czech Republic,203,CZE,CZ,234359,left,P. Schick,11555
Colombia,170,COL,CO,76,Roger Beyker,,Mart\u00ednez Tobinson,682,23/06/1994,180,FW,FWD,Forward,Colombia,170,COL,CO,267134,right,R. Mart\u00ednez,null
Netherlands,528,NLD,NL,81,Rick,,van Drongelen,2450,20/12/1998,185,DF,DEF,Defender,Netherlands,528,NLD,NL,365441,left,R. van Drongelen,670
Portugal,620,PRT,PT,83,William,,Silva de Carvalho,684,07/04/1992,187,MD,MID,Midfielder,Angola,24,AGO,AO,37762,right,William Carvalho,9905
Bosnia-Herzegovina,70,BIH,BA,61,Danijel,,Mili\u010devi\u0107,3777,05/01/1986,171,MD,MID,Midfielder,Switzerland,756,CHE,CH,37796,right,D. Mili\u010devi\u0107,10001
Spain,724,ESP,ES,74,Gabriel,,Fern\u00e1ndez Arenas,679,10/07/1983,181,MD,MID,Midfielder,Spain,724,ESP,ES,3441,right,Gabi,null
Italy,380,ITA,IT,75,Christian,,Dell'Orco,3315,10/02/1994,183,DF,DEF,Defender,Italy,380,ITA,IT,267185,left,C. Dell'Orco,null
Belgium,56,BEL,BE,82,Thomas,,Meunier,3767,12/09/1991,190,DF,DEF,Defender,Belgium,56,BEL,BE,37824,right,T. Meunier,5629
Colombia,170,COL,CO,77,Carlos Arturo,,Bacca Ahumada,682,08/09/1986,181,FW,FWD,Forward,Colombia,170,COL,CO,37831,right,C. Bacca,12430
Belgium,56,BEL,BE,63,Maxime,,Lestienne,683,17/06/1992,176,MD,MID,Midfielder,Belgium,56,BEL,BE,37836,left,M. Lestienne,null
Japan,392,JPN,JP,74,Eiji,,Kawashima,,20/03/1983,185,GK,GKP,Goalkeeper,Japan,392,JPN,JP,37896,right,E. Kawashima,12913
Honduras,340,HND,HN,79,Anthony Rub\u00e9n,,Lozano Col\u00f3n,756,25/04/1993,183,FW,FWD,Forward,Honduras,340,HND,HN,5147,right,Choco Lozano,null
Croatia,191,HRV,HR,65,Alen,,Halilovi\u0107,714,18/06/1996,170,MD,MID,Midfielder,Croatia,191,HRV,HR,234527,left,A. Halilovi\u0107,null
Croatia,191,HRV,HR,76,Stipe,,Perica,3163,07/07/1995,192,FW,FWD,Forward,Croatia,191,HRV,HR,234533,right,S. Perica,null
Spain,724,ESP,ES,76,Diego,,Rico Salguero,712,23/02/1993,183,DF,DEF,Defender,Spain,724,ESP,ES,169002,left,Diego Rico,null
Dominican Republic,214,DOM,DO,75,Mariano,,D\u00edaz Mej\u00eda,3766,01/08/1993,182,FW,FWD,Forward,Spain,724,ESP,ES,5167,right,Mariano D\u00edaz,null
Mozambique,508,MOZ,MZ,79,Edson Andr\u00e9,,Sitoe,3774,08/09/1988,188,DF,DEF,Defender,Mozambique,508,MOZ,MZ,70711,right,Mexer,18752
Iceland,352,ISL,IS,80,Alfre\u00f0,,Finnbogason,2481,01/02/1989,184,FW,FWD,Forward,Iceland,352,ISL,IS,37948,right,A. Finnbogason,7839
Spain,724,ESP,ES,66,Juli\u00e1n Omar,,Ramos Su\u00e1rez,,26/01/1988,175,MD,MID,Midfielder,Spain,724,ESP,ES,5195,left,Omar Ramos,null
Belgium,56,BEL,BE,74,Stef,,Peeters,3783,09/02/1992,188,MD,MID,Midfielder,Belgium,56,BEL,BE,38015,left,S. Peeters,null
Belgium,56,BEL,BE,68,Kevin,,De Bruyne,1625,28/06/1991,181,MD,MID,Midfielder,Belgium,56,BEL,BE,38021,right,K. De Bruyne,5629
Spain,724,ESP,ES,73,Sergio,,Le\u00f3n Limones,684,06/01/1989,178,FW,FWD,Forward,Spain,724,ESP,ES,5268,right,Sergio Le\u00f3n,null
Spain,724,ESP,ES,73,Mikel,,Rico Moreno,678,04/11/1984,178,MD,MID,Midfielder,Spain,724,ESP,ES,5290,right,Mikel Rico,null
Italy,380,ITA,IT,82,Odion Jude,,Ighalo,9138,16/06/1989,181,FW,FWD,Forward,Nigeria,566,NGA,NG,5295,right,O. Ighalo,16823
Brazil,76,BRA,BR,70,Guilherme,,Costa Marques,3219,21/05/1991,170,MD,MID,Midfielder,Brazil,76,BRA,BR,70834,left,Guilherme,null
Ghana,288,GHA,GH,74,Daniel Tawiah,,Opare,2481,18/10/1990,175,DF,DEF,Defender,Ghana,288,GHA,GH,38079,right,D. Opare,17522
Italy,380,ITA,IT,90,Felipe,,Trevizan Martins,2455,15/05/1987,193,DF,DEF,Defender,Brazil,76,BRA,BR,38082,left,Felipe,null
Iceland,352,ISL,IS,75,Birkir,,Bjarnason,1614,27/05/1988,178,MD,MID,Midfielder,Iceland,352,ISL,IS,38084,right,B. Bjarnason,7839
Germany,276,DEU,DE,72,Ihlas,,Bebou,2455,23/04/1994,183,FW,FWD,Forward,Togo,764,TGO,TG,224801,right,I. Bebou,18374
Congo DR,180,COD,CD,78,Michy,,Batshuayi Tunga,674,02/10/1993,185,FW,FWD,Forward,Belgium,56,BEL,BE,38093,right,M. Batshuayi,5629
Nigeria,566,NGA,NG,65,Imoh,,Ezekiel,714,24/10/1993,178,FW,FWD,Forward,Nigeria,566,NGA,NG,38094,right,I. Ezekiel,null
Togo,764,TGO,TG,79,Serge,,Gakp\u00e9,,07/05/1987,177,FW,FWD,Forward,France,250,FRA,FR,38095,right,S. Gakp\u00e9,null
Russia,643,RUS,RU,85,Ilya,,Kutepov,13888,29/07/1993,192,DF,DEF,Defender,Russia,643,RUS,RU,103668,right,I. Kutepov,14358
Russia,643,RUS,RU,72,Roman,,Zobnin,13888,11/02/1994,182,MD,MID,Midfielder,Russia,643,RUS,RU,103682,right,R. Zobnin,14358
Spain,724,ESP,ES,69,Antonio,,Garc\u00eda Aranda,695,07/11/1989,179,DF,DEF,Defender,Spain,724,ESP,ES,5383,left,To\u00f1o,null
Spain,724,ESP,ES,75,Gerard,,Moreno Balaguero,691,07/04/1992,180,FW,FWD,Forward,Spain,724,ESP,ES,5400,left,Gerard Moreno,null
Cape Verde Islands,132,CPV,CV,84,R\u00faben Afonso,,Borges Semedo,682,04/04/1994,189,DF,DEF,Defender,Portugal,620,PRT,PT,70956,right,R\u00faben Semedo,null
Portugal,620,PRT,PT,68,Edgar Miguel,,I\u00e9,3776,01/05/1994,178,DF,DEF,Defender,Guinea-Bissau,624,GNB,GW,70959,right,Edgar I\u00e9,null
Angola,24,AGO,AO,67,Jo\u00e3o M\u00e1rio,,Naval da Costa Eduardo ,3161,19/01/1993,173,MD,MID,Midfielder,Portugal,620,PRT,PT,70965,right,Jo\u00e3o M\u00e1rio,9905
Japan,392,JPN,JP,72,Daichi,,Kamada,2462,05/08/1996,180,MD,MID,Midfielder,Japan,392,JPN,JP,365880,right,D. Kamada,null
Portugal,620,PRT,PT,64,Iuri Jos\u00e9 ,,Pican\u00e7o Medeiros,3193,10/07/1994,174,FW,FWD,Forward,Portugal,620,PRT,PT,70974,left,Iuri Medeiros,null
Portugal,620,PRT,PT,70,Armindo,,Tu\u00e9 Na Bangna,2975,24/10/1994,173,FW,FWD,Forward,Guinea-Bissau,624,GNB,GW,70975,right,Bruma,null
Brazil,76,BRA,BR,74,Fernando,,Mar\u00e7al de Oliveira,3766,19/02/1989,178,DF,DEF,Defender,Brazil,76,BRA,BR,70981,left,Mar\u00e7al,null
Italy,380,ITA,IT,70,Antonio,,Barreca,3185,18/03/1995,180,DF,DEF,Defender,Italy,380,ITA,IT,300373,left,A. Barreca,null
Spain,724,ESP,ES,75,Luis,,Hern\u00e1ndez Rodr\u00edguez,683,14/04/1989,183,DF,DEF,Defender,Spain,724,ESP,ES,5472,right,Luis Hern\u00e1ndez,null
Spain,724,ESP,ES,75,Daniel,,Garc\u00eda Carrillo,701,24/05/1990,180,MD,MID,Midfielder,Spain,724,ESP,ES,5542,right,Dani Garc\u00eda,null
Brazil,76,BRA,BR,75,Malcom Filipe,,Silva de Oliveira,3772,26/02/1997,171,FW,FWD,Forward,Brazil,76,BRA,BR,300485,left,Malcom,6388
Italy,380,ITA,IT,77,Mart\u00edn Maximiliano,,Mantovani,712,07/07/1984,183,DF,DEF,Defender,Argentina,32,ARG,AR,5653,right,M. Mantovani,null
France,250,FRA,FR,73,David,,Alcibiade,,26/09/1991,177,DF,DEF,Defender,France,250,FRA,FR,28251,,D. Alcibiade,null
Germany,276,DEU,DE,70,Christian Robert,,Santos Kwasniewski,696,24/03/1988,184,FW,FWD,Forward,Venezuela,862,VEN,VE,38436,left,C. Santos,null
Spain,724,ESP,ES,86,Bruno,,Gonz\u00e1lez Cabrera,698,24/05/1990,185,DF,DEF,Defender,Spain,724,ESP,ES,5677,right,Bruno,null
Brazil,76,BRA,BR,65,Douglas Luiz,,Soares de Paulo,756,09/05/1998,178,MD,MID,Midfielder,Brazil,76,BRA,BR,443324,right,Douglas Luiz,null
Germany,276,DEU,DE,0,Marlon,,S\u00fcndermann,2455,16/05/1998,186,GK,GKP,Goalkeeper,Germany,276,DEU,DE,366197,right,M. S\u00fcndermann,null
Croatia,191,HRV,HR,71,Andrija,,Bali\u0107,3163,11/08/1997,180,MD,MID,Midfielder,Croatia,191,HRV,HR,300669,right,A. Bali\u0107,9604
Bosnia-Herzegovina,70,BIH,BA,85,Ervin,,Zukanovi\u0107,3193,11/02/1987,190,DF,DEF,Defender,Bosnia-Herzegovina,70,BIH,BA,38532,left,E. Zukanovi\u0107,null
Ghana,288,GHA,GH,89,Kevin,,Danso,2481,19/09/1998,190,DF,DEF,Defender,Austria,40,AUT,AT,366217,right,K. Danso,9109
Spain,724,ESP,ES,67,Juan Pablo,,A\u00f1or Acosta,683,24/01/1994,175,MD,MID,Midfielder,Venezuela,862,VEN,VE,5791,left,Juanpi,15757
Germany,276,DEU,DE,85,Alexander,,N\u00fcbel,2449,30/09/1996,193,GK,GKP,Goalkeeper,Germany,276,DEU,DE,333477,right,A. N\u00fcbel,3155
Italy,380,ITA,IT,66,Lorenzo,,Venuti,3219,12/04/1995,176,DF,DEF,Defender,Italy,380,ITA,IT,284960,right,L. Venuti,null
France,250,FRA,FR,72,Willem,,Geubbels,3766,16/08/2001,185,FW,FWD,Forward,France,250,FRA,FR,497355,right,W. Geubbels,null
Brazil,76,BRA,BR,76,Jorge Marco,,de Oliveira Moraes,19830,28/03/1996,184,DF,DEF,Defender,Brazil,76,BRA,BR,300784,left,Jorge,null
Spain,724,ESP,ES,64,Lucas,,Torreira Di Pascua,1609,11/02/1996,168,MD,MID,Midfielder,Uruguay,858,URY,UY,333571,right,L. Torreira,15670
Spain,724,ESP,ES,71,Sergi,,Samper Monta\u00f1a,714,20/01/1995,181,MD,MID,Midfielder,Spain,724,ESP,ES,5907,right,Sergi Samper,null
Spain,724,ESP,ES,72,Sandro ,,Ram\u00edrez Castillo,680,09/07/1995,175,FW,FWD,Forward,Spain,724,ESP,ES,5911,right,Sandro,null
Algeria,12,DZA,DZ,65,Adam,,Ounas,3187,11/11/1996,172,FW,FWD,Forward,France,250,FRA,FR,300830,left,A. Ounas,null
Cameroon,120,CMR,CM,77,K\u00e9vin Olivier,,Soni,756,17/04/1998,182,MD,MID,Midfielder,Cameroon,120,CMR,CM,366374,left,K. Soni,16779
Cameroon,120,CMR,CM,78,Andr\u00e9-Frank,,Zambo Anguissa,3771,16/11/1995,184,MD,MID,Midfielder,Cameroon,120,CMR,CM,366401,right,A. Zambo Anguissa,null
Czech Republic,203,CZE,CZ,82,Luk\u00e1\u0161,,Zima,3193,09/01/1994,196,GK,GKP,Goalkeeper,Czech Republic,203,CZE,CZ,137041,right,L. Zima,null
Croatia,191,HRV,HR,79,Stefan,,Simi\u010d,3197,20/01/1995,187,DF,DEF,Defender,Czech Republic,203,CZE,CZ,137048,right,S. Simi\u010d,11555
Bosnia-Herzegovina,70,BIH,BA,80,Rijad,,Baji\u0107,4535,06/05/1994,189,FW,FWD,Forward,Bosnia-Herzegovina,70,BIH,BA,268180,left,R. Baji\u0107,null
Austria,40,AUT,AT,72,Konrad,,Laimer,2975,27/05/1997,180,MD,MID,Midfielder,Austria,40,AUT,AT,282804,right,K. Laimer,9116
Romania,642,ROU,RO,80,Deian,,Boldor,3194,03/02/1995,189,DF,DEF,Defender,Romania,642,ROU,RO,137143,left,D. Boldor,null
Senegal,686,SEN,SN,72,Abdou,,Diallo,2460,04/05/1996,188,DF,DEF,Defender,France,250,FRA,FR,235450,left,A. Diallo,4425
France,250,FRA,FR,85,Dimitry,,Bertaud,3787,06/06/1998,180,GK,GKP,Goalkeeper,France,250,FRA,FR,366528,right,D. Bertaud,4426
France,250,FRA,FR,75,Jeff,,Reine-Adelaide,3799,17/01/1998,183,MD,MID,Midfielder,France,250,FRA,FR,366542,right,J. Reine-Adelaide,4426
South Africa,710,ZAF,ZA,80,Lebo,,Mothiba,3776,28/01/1996,182,FW,FWD,Forward,South Africa,710,ZAF,ZA,366546,right,L. Mothiba,null
France,250,FRA,FR,77,J\u00e9r\u00e9my,,Gelin,3774,24/04/1997,182,DF,DEF,Defender,France,250,FRA,FR,301013,right,J. Gelin,null
France,250,FRA,FR,68,Romain,,Perraud,3775,22/09/1997,173,DF,DEF,Defender,France,250,FRA,FR,301016,left,R. Perraud,4426
France,250,FRA,FR,88,Marcus,,Thuram,3785,06/08/1997,192,FW,FWD,Forward,Italy,380,ITA,IT,301017,right,M. Thuram,null
Serbia,688,SRB,RS,75,Vahid,,Selimovic,3777,03/04/1997,190,DF,DEF,Defender,Luxembourg,442,LUX,LU,366563,right,V. Selimovic,null
Portugal,620,PRT,PT,89,Ederson,,Santana de Moraes,1625,17/08/1993,187,GK,GKP,Goalkeeper,Brazil,76,BRA,BR,71654,left,Ederson,6380
